scenario_time,value,rolling_avg
135.83069,34.346519,27.662642469999998
135.864242,33.451649,27.654901612222222
135.897153,32.579731,27.64658428333333
135.930694,31.732965,27.638568907777774
135.963975,30.913738,27.630864398888892
135.997527,30.124631,27.625134238888887
136.029492,29.368418,27.62140345888889
136.063511,28.64806,27.619697562222225
136.096743,27.966702,27.620041717777777
136.130798,27.327644,27.622380554444447
136.162963,26.734316,27.62675002888889
136.196832,26.190236,27.63311791
136.229773,25.698955,27.641531963333335
136.26307,25.263985,27.652039390000002
136.296819,24.182472,27.66389896111111
136.330688,22.622254,27.676542463333334
136.364122,20.608773,27.68939605
136.397572,18.599142,27.70212936
136.430702,16.593704,27.714679646666664
136.464044,14.593011,27.726900567777776
136.497175,12.597982,27.73829539222222
136.530454,10.610247,27.74741579222222
136.563848,8.632954,27.75288828777778
136.597115,6.67299,27.754277326666667
136.63048,4.748533,27.751484734444446
136.664015,2.925123,27.744568743333332
136.697209,1.588031,27.7340441
136.730622,2.101279,27.72195313111111
136.76401,3.769326,27.709571221111112
136.797437,5.645411,27.697125015555557
136.83046,7.106981,27.684151343333333
136.863712,7.642702,27.669620091111113
136.897272,7.162803,27.652402201111112
136.93051,6.033469,27.63177604888889
136.963821,4.838726,27.607669328888885
136.997089,3.72794,27.580176
137.030345,2.805998,27.54950679111111
137.063651,2.315049,27.51745921888889
137.097045,2.524432,27.48533479111111
137.130488,3.306223,27.45376731444444
137.163782,4.364849,27.42359538222222
137.197067,5.545482,27.39495521222222
137.229871,6.785981,27.367914016666667
137.26402,8.059794,27.342777147777777
137.297005,9.354211,27.320446142222224
137.330421,10.662503,27.300937481111113
137.36312,11.980805,27.28426328777778
137.397354,13.306748,27.270363167777777
137.430461,14.638798,27.259245755555554
137.463682,15.97592,27.250918503333335
137.496939,17.317386,27.245388004444443
137.530417,18.66267,27.2426602
137.563094,20.011378,27.242740502222222
137.597268,21.363211,27.24563387
137.630153,22.467933,27.251067056666663
137.66375,23.325364,27.258766394444443
137.697085,23.935381,27.26845777555555
137.730383,23.547954,27.279033311111114
137.763918,22.91305,27.290217826666666
137.797063,22.280614,27.30201303111111
137.830271,21.650603,27.314419361111113
137.862626,21.022969,27.327435336666667
137.896934,20.39767,27.341056473333335
137.93056,19.774659,27.355273285555555
137.963798,19.153894,27.370067380000002
137.99692,18.53533,27.385403065555554
138.030105,17.918923,27.40120742111111
138.063737,17.304632,27.417318862222224
138.096975,16.692413,27.43336757
138.13051,16.082228,27.44869137111111
138.163747,15.474034,27.46265313111111
138.19721,14.867795,27.474911397777777
138.230621,14.263474,27.485840247777777
