joystick_x,joystick_y,center_deviation,cursor_in_target,a_in_tolerance,a_deviation,b_in_tolerance,b_deviation,"pump_1_flow, 1","pump_2_flow, 2","pump_3_flow, 3","pump_4_flow, 4","pump_5_flow, 5","pump_6_flow, 6","pump_7_flow, 7","pump_8_flow, 8",scale1,scale2,scale3,scale4,event_occured,response_time
-1.5,-0.5,17.139031,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,4,6,4,1,2800
-1.5,-0.5,18.108105,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,3,7,3,1,2900
-1.5,-0.5,19.080249,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,4,6,4,1,3000
-1.5,-0.5,20.055451,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,3,7,5,1,3100
-1.5,-0.5,21.033704,1,1,-27,1,-29,0,1,0,1,0,0,0,0,2,4,6,4,1,3200
-1.5,-0.5,22.015009,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,3,5,3,1,3300
-1.5,-0.5,22.999373,1,1,-27,1,-29,0,1,0,1,0,0,0,0,2,4,6,4,1,3400
-1.5,-0.5,23.986803,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,5,5,5,1,3500
-1.5,-0.5,24.977313,1,1,-27,1,-29,0,1,0,1,0,0,0,0,2,6,6,6,1,3600
-1.5,-0.5,25.970919,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,7,5,7,1,3700
-1.5,-0.5,26.967638,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,6,4,6,1,3800
-1.5,-0.5,27.967489,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,7,5,7,1,3900
-1.5,-0.5,28.970494,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,6,4,6,1,4000
-1.5,-0.5,29.976673,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,5,3,5,1,4100
-1.5,-0.5,30.98605,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,6,4,4,1,4200
-1.5,-0.5,31.998649,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,5,5,3,1,4300
-1.5,-0.5,33.014495,1,1,-27,1,-29,0,1,0,1,0,0,0,0,2,6,4,4,1,4400
-1.5,-0.5,34.033613,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,5,5,5,1,4500
-1.5,-0.5,35.056028,1,1,-27,1,-29,0,1,0,1,0,0,0,0,2,4,6,6,1,4600
-1.5,-0.5,36.081766,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,3,5,7,1,4700
-1.5,-0.5,37.110855,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,4,4,6,1,4800
-1.5,-0.5,38.143321,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,5,5,5,1,4900
-1.5,-0.5,39.179192,1,1,-27,1,-29,0,1,0,1,0,0,0,0,5,6,4,6,0,0
-1.5,-0.5,40.218494,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,5,3,7,0,0
-1.5,-0.5,41.261256,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,4,4,6,0,0
-1.5,-0.5,42.307505,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,5,5,5,0,0
-1.5,-0.5,43.357269,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,6,6,4,0,0
-1.5,-0.5,44.410576,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,7,5,3,0,0
-1.25,-0.25,45.467454,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,6,4,4,0,0
-1.25,-0.25,46.281023,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,5,5,3,0,0
-1.25,-0.25,47.097957,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,4,6,4,0,0
-1.25,-0.25,47.918222,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,3,5,3,0,0
-1.25,-0.25,48.741789,0,1,-27,1,-29,0,1,0,1,0,0,0,0,0,4,6,4,0,0
-1.25,-0.25,49.568635,0,1,-27,1,-29,0,1,0,1,0,0,0,0,0,3,5,5,0,0
-1.25,-0.25,50.398738,0,1,-27,1,-29,0,1,0,1,0,0,0,0,0,4,6,4,0,0
-1.25,-0.25,51.23208,0,1,-27,1,-29,0,1,0,1,0,0,0,0,0,5,5,5,0,0
-1.5,-0.25,52.068646,0,1,-27,1,-29,0,1,0,1,0,0,0,0,4,4,6,6,0,0
-1.5,-0.25,53.158334,0,1,-27,1,-29,0,1,0,1,0,0,0,0,5,3,5,5,0,0
-1.5,-0.25,54.251216,0,1,-27,1,-29,0,1,0,1,0,0,0,0,4,4,6,6,0,0
-1.5,-0.25,55.347288,0,1,-27,1,-29,0,1,0,1,0,0,0,0,5,5,5,7,0,0
-1.5,-0.25,56.446548,0,1,-27,1,-29,0,1,0,1,0,0,0,0,6,4,6,6,0,0
-1.5,-0.25,57.548999,0,1,-27,1,-29,0,1,0,1,0,0,0,0,7,3,5,7,0,0
-1.5,-0.25,58.654641,0,1,-27,1,-29,0,1,0,1,0,0,0,0,6,4,6,6,0,0
-1.5,-0.25,59.763481,0,1,-27,1,-29,0,1,0,1,0,0,0,0,5,5,5,7,0,0
-1.5,-0.25,60.875525,0,1,-27,1,-29,0,1,0,1,0,0,0,0,6,6,4,6,0,0
-1.5,-0.25,61.990781,0,1,-27,1,-29,0,1,0,1,0,0,0,0,7,5,3,7,0,0
-1.5,-0.25,63.109258,0,1,-27,1,-29,0,1,0,1,0,0,0,0,6,4,4,6,0,0
-1.5,-0.25,64.230968,0,1,-27,1,-29,0,1,0,1,0,0,0,0,5,3,5,7,0,0
-1.5,-0.25,65.355921,0,1,-27,1,-29,0,1,0,1,0,0,0,0,6,4,6,6,0,0
-1.5,-0.25,66.484132,0,1,-27,1,-29,0,1,0,1,1,0,0,0,5,5,7,7,0,0
-1.5,-0.25,67.615614,0,1,-27,1,-29,0,1,0,1,1,0,0,0,4,4,6,6,0,0
-1.5,-0.25,68.750382,0,1,-27,1,-29,0,1,0,1,1,1,0,0,5,5,7,5,0,0
-1.5,-0.25,69.888452,0,1,-27,1,-29,0,1,0,1,1,1,0,0,6,6,6,4,0,0
-1.5,-0.25,71.029841,0,1,-27,1,-29,0,1,0,1,1,1,0,0,5,7,7,3,0,0
-1.5,-0.25,72.174565,0,1,-27,1,-29,0,1,0,1,1,1,0,0,4,6,6,4,0,0
-1.5,-0.25,73.322643,0,1,-27,1,-29,0,1,0,1,1,1,0,0,3,5,7,3,0,0
-1.0,0.25,74.474093,0,1,-27,1,-29,0,1,0,1,1,1,0,0,4,4,6,4,0,0
-0.5,0.5,75.142888,0,1,-27,1,-29,0,1,0,1,1,1,0,0,3,3,7,5,0,0
-0.5,0.5,75.327642,0,1,-27,1,-29,0,1,0,1,1,1,0,0,4,4,6,4,0,0
-0.5,0.5,75.52223,0,1,-27,1,-29,0,1,0,1,1,1,0,0,5,5,7,5,0,0
-0.5,0.5,75.726452,0,1,-27,1,-29,0,1,0,1,1,1,0,0,6,4,6,4,0,0
-0.25,0.5,75.94011,0,1,-27,1,-29,0,1,0,1,1,1,0,0,7,5,7,3,0,0
-0.25,0.5,75.913743,0,1,-27,1,-29,0,1,0,1,1,1,0,0,6,6,6,4,0,0
-0.25,0.5,75.896779,0,1,-27,1,-29,0,1,0,1,1,1,0,0,5,5,5,3,0,0
-0.25,0.5,75.889071,0,1,-27,1,-29,0,1,0,1,1,1,0,0,6,4,4,4,0,0
0.0,0.5,75.890474,0,1,-27,1,-29,0,1,0,1,1,1,0,0,5,5,5,3,0,0
0.25,0.5,75.652431,0,1,-27,1,-29,0,1,0,1,1,1,0,0,4,6,4,4,0,0
0.25,0.5,75.1756,0,1,-27,1,-29,0,1,0,1,1,1,0,0,5,7,3,3,0,0
0.25,0.5,74.708604,0,1,-27,1,-29,0,1,0,1,1,1,0,0,4,6,4,4,0,0
0.25,0.25,74.251409,0,1,-27,1,-29,0,1,0,1,1,1,0,0,5,5,3,5,0,0
0.25,0.25,73.766588,0,1,-27,1,-29,0,1,0,1,1,1,0,0,4,6,4,6,0,0
0.5,0.25,73.287503,0,1,-27,1,-29,0,1,0,1,1,1,0,0,3,7,3,5,0,0
0.5,0.0,72.567356,0,1,-27,1,-29,0,1,0,1,1,1,0,0,4,6,4,4,0,0
0.5,0.0,71.811829,0,1,-27,1,-29,0,1,0,1,1,1,0,0,3,7,3,3,0,0
0.75,-0.5,71.05986,0,1,-27,1,-29,0,1,0,1,1,1,0,0,4,6,4,4,0,0
0.75,-0.5,69.980805,0,1,-27,1,-29,0,1,0,1,1,1,0,0,5,7,5,3,0,0
0.75,-0.5,68.905036,0,1,-27,1,-29,0,1,0,1,1,1,0,0,6,6,6,4,0,0
0.75,-0.5,67.832646,0,1,-27,1,-29,0,1,0,1,1,1,0,0,7,5,5,5,0,0
0.75,-0.5,66.763735,0,1,-27,1,-29,0,1,0,1,1,1,0,0,6,6,4,4,0,0
0.75,-0.5,65.69841,0,1,-27,1,-29,0,1,0,1,1,1,0,0,5,7,5,3,0,0
0.75,-0.75,64.636787,0,1,-27,1,-29,0,1,0,1,1,1,0,0,6,6,6,4,0,0
0.75,-0.75,63.543463,0,1,-27,1,-29,0,1,0,1,1,1,0,0,7,7,5,5,0,0
